Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HSpec,14VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Favorite
Steelers,@Patriots,1,NA,,,,,,,,,,,5.6,0.9,11.8,10.8,13.5,3,22.1,9.7,9.4,22.5,-11.3,12.1,0,1
Packers,@Bears,1,0,,,,,,,,,,,-3.1,-2.4,4.9,6.4,-0.1,-10.6,-13.8,11.2,10.8,24.7,1,23.3,-2,0
Chiefs,@Texans,1,0,,,,,,,,,,,-3.9,6.7,9.8,6.7,-6.8,6.2,-4.5,10.1,9.4,5,-1.3,10.4,-7,0
Browns,@Jets,1,1,,,,,,,,,,,-0.8,0.5,4.8,5.9,-11.2,-3.5,-15.5,6.9,7.2,-10.2,3,-6.7,17.5,1
Colts,@Bills,1,1,,,,,,,,,,,6.2,3.3,9.6,9,-11.2,15.5,10.5,10.2,8.8,-1.1,2.3,4.5,13,0
Dolphins,@Redskins,1,0,,,,,,,,,,,-5.3,-6.1,4.5,4.4,-11.8,-9.9,-27,8.4,8.8,10.1,-0.5,3.5,-3,0
Panthers,@Jaguars,1,0,,,,,,,,,,,-3.7,-5.5,3.6,3.3,-24.3,-1.5,-29.5,7,7.4,-4.7,1.7,-8.5,-8,0
Seahawks,@Rams,1,1,,,,,,,,,,,3.5,-1.7,7.1,6.1,-11.1,3.8,-3.8,11.9,12.7,16.8,16.8,31.9,6.5,0
Saints,@Cardinals,1,1,,,,,,,,,,,-2.1,1.6,8.3,7.4,-9.3,5,-6.4,7.4,7.6,10.6,-13.1,-0.9,10,1
Lions,@Chargers,1,1,,,,,,,,,,,-2.7,-5.7,8,8,7,-4.9,-0.6,9.2,8.7,-3.8,13.9,4.4,1.5,1
Titans,@Buccaneers,1,0,,,,,,,,,,,-0.9,-1.7,4.4,4.1,-26.3,-1.1,-28.3,3.3,4,-16.4,-11.2,-29.3,-31,1
Bengals,@Raiders,1,0,,,,,,,,,,,-1.7,4.1,3.1,4.8,-19.4,-6.3,-27.4,8.6,9,-1.4,2.3,5,-17,0
Ravens,@Broncos,1,1,,,,,,,,,,,-3.7,7.9,11,13.3,20,13.2,29.5,10.9,11.5,9.4,4.6,21.9,1,1
Giants,@Cowboys,1,0,,,,,,,,,,,0.9,-0.6,10.8,10.3,16.8,-4,13.7,7.5,7,-0.3,-4.9,-5.8,-6,1
Eagles,@Falcons,1,1,,,,,,,,,,,3.1,8.4,7.1,7.2,7.2,-15.7,-5.4,9.7,9.7,1.1,3.3,12.8,5,0
Vikings,@49ers,1,1,,,,,,,,,,,-3.1,3,7,9,-0.4,10.1,6.6,7.5,7.2,-7.4,-4.3,-8.7,20,0
Broncos,@Chiefs,2,0,-6.6,15.9,-3.3,-23.8,-17.8,33.2,-16.7,16.9,4.4,7.5,6.7,-3.7,10.1,9.4,5,-1.3,10.4,11,13.3,20,13.2,29.5,-10,1
Texans,@Panthers,2,1,4.8,-25.1,2.7,-19.4,18.5,-9.9,11.6,-41.3,-9.6,-12,-5.5,-3.9,7,7.4,-4.7,1.7,-8.5,9.8,6.7,-6.8,6.2,-4.5,4,1
49ers,@Steelers,2,1,11.6,-28.5,20.9,-25.8,1.3,-17.1,17.7,-48.9,-4.5,-6,0.9,-3.1,9.7,9.4,22.5,-11.3,12.1,7,9,-0.4,10.1,6.6,19,1
Buccaneers,@Saints,2,0,-7.4,-26.9,5.9,-33.4,-20.9,0.9,-14.5,-36.6,0.5,-4.1,1.6,-0.9,7.4,7.6,10.6,-13.1,-0.9,4.4,4.1,-26.3,-1.1,-28.3,-17,1
